10/02/2022	The Melt Goes On Forever: The Art and Times of David Hammons	PN2894	101	01:41:00	PORTR	16:00:00	IN09	2
10/02/2022	Music Pictures: New Orleans	PN2834	72	01:12:00	PORTR	19:00:00	IN09	2
10/02/2022	Aftersun	PN2970	98	01:38:00	PANOR	21:15:00	IN09	2
10/03/2022	Rosie	PN2974	90	01:30:00	IGNITE	10:15:00	IN09	2
10/03/2022	A Piece of Sky	PN2858	136	02:16:00	PANOR	13:15:00	IN09	2
10/03/2022	Utama	PN2821	87	01:27:00	PANOR	16:30:00	IN09	2
10/03/2022	Goya, Carrière and the Ghost of Buñuel	PN2881	90	01:30:00	PORTR	19:00:00	IN09	2
10/03/2022	Riverside Mukolitta	PN2836	121	02:01:00	PANOR	21:30:00	IN09	2
10/04/2022	Nayola	PN2978	83	01:23:00	IGNITE	10:15:00	IN09	2
10/04/2022	Dancing Pina	PN2853	111	01:51:00	PORTR	13:15:00	IN09	2
10/04/2022	Last Flight Home	PN2852	106	1:46	INSIG	16:00:00	IN09	2
10/04/2022	Cesária Évora	PN2838	94	01:34:00	PORTR	18:45:00	IN09	2
10/04/2022	The Novelist's Film	PN2905	92	01:32:00	PANOR	21:15:00	IN09	2
10/05/2022	Unarchived	PN2979	84	01:24:00	IGNITE	10:15:00	IN09	2
10/05/2022	Music Pictures: New Orleans	PN2834	72	01:12:00	PORTR	13:15:00	IN09	2
10/05/2022	Riotsville, U.S.A.	PN2931	91	01:31:00	SPECT	15:30:00	IN09	2
10/05/2022	OKAY! (The ASD Band Film)	PN2952	86	01:26:00	PORTR	18:00:00	IN09	2
10/05/2022	Queens of the Qing Dynasty	PN2842	122	02:02:00	PANOR	20:45:00	IN09	2
10/06/2022	Rebellion	PN2981	82	01:22:00	IGNITE	10:15:00	IN09	2
10/06/2022	The Forger	PN2855	116	01:56:00	PANOR	13:15:00	IN09	2
10/06/2022	Septet: The Story of Hong Kong	PN2851	111	01:51:00	PANOR	16:15:00	IN09	2
10/06/2022	Retrograde	PN2961	93	01:33:00	INSIG	19:00:00	IN09	2
10/06/2022	Black Ice	PN2928	97	01:37:00	SHOWC	21:30:00	IN09	2
10/07/2022	Leonor Will Never Die	PN2982	99	01:39:00	IGNITE	10:15:00	IN09	2
10/07/2022	Hopper - An American Love Story	PN2946	90	01:30:00	PORTR	13:15:00	IN09	2
10/07/2022	The Beasts	PN2861	137	02:17:00	PANOR	15:45:00	IN09	2
10/07/2022	A Matter of Trust	PN2874	105	01:45:00	PANOR	19:00:00	IN09	2
10/07/2022	Klondike	PN2868	100	01:40:00	SHOWC	21:45:00	IN09	2
10/08/2022	Zátopek	PN2829	131	2:11	PANOR	10:30:00	IN09	2
10/08/2022	Maigret	PN2896	88	1:28	PANOR	13:30:00	IN09	2
10/08/2022	Viking	PN2893	104	1:44	SHOWC	16:00:00	IN09	2
